time,equity
1515024000,10000.000000
1515423960,9987.505859
1515424020,9940.083008
1515424080,10041.559570
1515424140,10210.687500
1515424200,10344.569336
1515424260,10366.285156
1515424320,10413.640625
1515424380,10440.701172
1515424440,10445.369141
1515424500,10616.594727
1515424560,10670.714844
1515424620,10697.775391
1515424680,10731.668945
1515424740,10772.192383
1515424800,10684.246094
1515424860,10664.017578
1515424920,10785.654297
1515424980,10934.554688
1515425040,10981.843750
1515425100,10900.255859
1515425160,10839.775391
1515425220,10831.927734
1515425280,10882.666016
1515425340,10949.236328
1515425400,10924.339844
1515425460,10988.675781
1515425520,11049.021484
1515425580,11070.263672
1515425640,11031.093750
1515425700,10964.525391
1515425760,10988.675781
1515425820,10976.633789
1515425880,10887.402344
1515425940,10907.291016
1515426000,10900.932617
1515426060,11042.662109
1515426120,11056.935547
1515426180,11084.131836
1515426240,11069.789062
1515426300,11044.556641
1515426360,11110.448242
1515426420,11096.917969
1515426480,11049.968750
1515426540,10969.125000
1515426600,10888.484375
1515426660,10887.267578
1515426720,11022.772461
1515426780,11021.892578
1515426840,10987.728516
1515426900,10941.658203
1515426960,10950.115234
1515427020,10921.092773
1515427080,10853.441406
1515427140,10920.551758
1515427200,11096.917969
1515427260,10982.250000
1515427320,11002.544922
1515427380,11042.865234
1515427440,11056.327148
1515427500,11076.757812
1515427560,11095.835938
1515427620,11093.806641
1515427680,11069.045898
1515427740,11056.530273
1515427800,11090.017578
1515427860,11094.007812
1515427920,11124.181641
1515427980,11134.802734
1515428040,11229.988281
1515428100,11180.466797
1515428160,11172.281250
1515428220,11157.939453
1515428280,11171.199219
1515428340,11191.628906
1515428400,11221.125000
1515428460,11196.094727
1515428520,11225.455078
1515428580,11232.017578
1515428640,11232.423828
1515428700,11241.083008
1515428760,11238.985352
1515428820,11173.296875
1515428880,11132.095703
1515428940,11137.507812
1515429000,11137.507812
1515429060,11110.448242
1515429120,11096.917969
1515429180,11096.917969
1515429240,11076.690430
1515429300,10988.675781
1515429360,10981.910156
1515429420,11015.736328
1515429480,11076.690430
1515429540,11096.917969
1515429600,11125.669922
1515429660,11141.230469
1515429720,11170.861328
1515429780,11137.644531
1515429840,11191.359375
1515429900,11171.333984
1515429960,11151.039062
1515430020,11184.525391
1515430080,11211.925781
1515430140,11229.310547
1515430200,11232.220703
1515430260,11232.829102
1515430320,11252.515625
1515430380,11265.978516
1515430440,11245.885742
1515430500,11221.328125
1515430560,11204.483398
1515430620,11150.970703
1515430680,11223.966797
1515430740,11251.839844
1515430800,11238.782227
1515430860,11218.689453
1515430920,11238.714844
1515430980,11239.052734
1515431040,11222.208008
1515431100,11198.394531
1515431160,11171.199219
1515431220,11157.736328
1515431280,11193.726562
1515431340,11198.191406
1515431400,11171.199219
1515431460,11184.931641
1515431520,11191.833008
1515431580,11173.025391
1515431640,11183.580078
1515431700,11205.024414
1515431760,11225.251953
1515431820,11231.476562
1515431880,11225.792969
1515431940,11225.251953
1515432000,11242.299805
1515432060,11191.628906
1515432120,11272.472656
1515432180,11191.765625
1515432240,11168.627930
1515432300,11166.192383
1515432360,11138.523438
1515432420,11100.029297
1515432480,11144.273438
1515432540,11130.134766
1515432600,11121.814453
1515432660,11048.818359
1515432720,10988.675781
1515432780,11022.230469
1515432840,10976.904297
1515432900,10914.597656
1515432960,11082.981445
1515433020,11030.958008
1515433080,11041.714844
1515433140,10995.441406
1515433200,11050.103516
1515433260,11036.371094
1515433320,11023.042969
1515433380,11036.371094
1515433440,11022.501953
1515433500,11049.494141
1515433560,11056.597656
1515433620,11090.152344
1515433680,11080.208984
1515433740,11090.084961
1515433800,11094.820312
1515433860,11122.152344
1515433920,11137.238281
1515433980,11124.113281
1515434040,11137.507812
1515434100,11096.985352
1515434160,11130.744141
1515434220,11130.744141
1515434280,11131.351562
1515434340,11130.744141
1515434400,11130.744141
1515434460,11113.018555
1515434520,11106.050781
1515434580,11063.091797
1515434640,11098.136719
1515434700,11106.185547
1515434760,11106.253906
1515434820,11151.039062
1515434880,11157.804688
1515434940,11177.760742
1515435000,11164.636719
1515435060,11164.433594
1515435120,11191.628906
1515435180,11194.064453
1515435240,11185.203125
1515435300,11205.160156
1515435360,11211.857422
1515435420,11211.925781
1515435480,11225.455078
1515435540,11225.523438
1515435600,11232.152344
1515435660,11221.463867
1515435720,11228.905273
1515435780,11255.559570
1515435840,11259.281250
1515435900,11265.842773
1515435960,11293.039062
1515644340,11278.929688
1515644400,11464.644531
1515644460,11603.156250
1515644520,11655.558594
1515644580,11549.765625
1515644640,11377.745117
1515644700,11476.494141
1515644760,11476.494141
1515644820,11357.995117
1515644880,11279.061523
1515644940,11278.996094
1515645000,11253.320312
1515645060,11015.730469
1515645120,11147.396484
1515645180,11272.214844
1515645240,11384.064453
1515645300,11015.730469
1515645360,11186.830078
1515645420,11278.996094
1515645480,11345.355469
1515645540,11259.246094
1515645600,11127.449219
1515645660,11213.163086
1515645720,11181.497070
1515645780,11233.242188
1515645840,11357.995117
1515645900,11469.779297
1515645960,11476.560547
1515646020,11476.494141
1515646080,11637.785156
1515646140,11818.363281
1515646200,11783.472656
1515646260,11755.558594
1515646320,11886.632812
1515646380,11995.256836
1515646440,12082.156250
1515646500,12147.988281
1515646560,12043.379883
1515646620,11871.424805
1515646680,11845.552734
1515646740,11983.142578
1515646800,12009.871094
1515646860,11953.847656
1515646920,11885.315430
1515646980,12016.388672
1515647040,12054.308594
1515647100,12102.103516
1515647160,12205.328125
1515647220,12299.403320
1515647280,12332.452148
1515647340,12319.154297
1515647400,12338.903320
1515647460,12257.138672
1515647520,12134.822266
1515647580,12299.469727
1515647640,12367.210938
1515647700,12358.257812
1515647760,12371.820312
1515647820,12411.451172
1515647880,12325.736328
1515647940,12296.638672
1515648000,12200.588867
1515648060,12177.613281
1515648120,12082.221680
1515648180,12223.300781
1515648240,12266.487305
1515648300,12141.800781
1515648360,12113.492188
1515648420,12025.078125
1515648480,12101.839844
1515648540,12055.625000
1515648600,12134.492188
1515648660,12131.398438
1515648720,12068.264648
1515648780,12108.488281
1515648840,12088.738281
1515648900,12047.263672
1515648960,12088.475586
1515649020,12108.422852
1515649080,12108.488281
1515649140,12194.071289
1515649200,12068.791016
1515649260,12100.720703
1515649320,12069.054688
1515649380,12094.005859
1515649440,12062.669922
1515649500,12053.978516
1515649560,12015.796875
1515649620,11970.240234
1515649680,11884.657227
1515649740,11828.896484
1515649800,11713.623047
1515649860,11826.724609
1515649920,11858.389648
1515649980,11739.693359
1515650040,11780.115234
1515650100,11739.825195
1515650160,11673.992188
